Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR8335120_1	48.76198768791282	45.0	75.26627110370868	10.0	17495740.0
SRR8335120_2	51.160003116471096	45.0	75.23467032546209	20.0	17495740.0
SRR8335121_1	53.32659867071284	45.0	75.2699236064432	20.0	18126136.0
SRR8335121_2	53.799412152457165	45.0	75.24278721068848	20.0	18126136.0
SRR8335122_1	51.388933072002665	45.0	75.32443370632873	20.0	17649279.0
SRR8335122_2	52.47959345501105	45.0	75.29964867120067	20.0	17649279.0
SRR8335123_1	51.013616313190965	45.0	75.20291369333759	20.0	16257030.0
SRR8335123_2	53.757747028597976	45.0	75.17704697598516	20.0	16257030.0
SRR8335124_1	48.838475927482186	44.0	75.28643194880537	10.0	16355466.0
SRR8335124_2	49.93999206097642	45.0	75.25876706906425	10.0	16355466.0
SRR8335125_1	53.18230458662112	44.0	75.15129803478807	30.0	17931145.0
SRR8335125_2	53.49452658819669	45.0	75.13022503582454	20.0	17931145.0
SRR8335126_1	49.14343927611514	44.0	75.24721817350438	10.0	16767311.0
SRR8335126_2	50.4131718768779	45.0	75.21918839580181	20.0	16767311.0
SRR8335127_1	41.28074421731706	45.0	75.05500037306481	10.0	10923035.0
SRR8335127_2	42.68514529541771	45.0	75.03159039589272	10.0	10923035.0
SRR8335128_1	46.882778560649754	44.0	75.22061976051313	10.0	13965943.0
SRR8335128_2	47.847366331808075	45.0	75.1931442080209	10.0	13965943.0
SRR8335129_1	49.75101464948789	45.0	75.37415348616234	10.0	18427785.0
SRR8335129_2	50.81341393309795	45.0	75.34675382852578	20.0	18427785.0
SRR8335130_1	47.01883855035729	45.0	75.1433004087598	10.0	14564299.0
SRR8335130_2	49.57401741035575	45.0	75.11824709174125	10.0	14564299.0
SRR8335131_1	50.58883338808485	44.0	74.98780534554784	30.0	17112334.0
SRR8335131_2	49.48174592110709	45.0	74.98487412646341	10.0	17112334.0
SRR8335132_1	48.42508388298579	44.0	75.03510404951501	10.0	18046408.0
SRR8335132_2	49.108519569598286	45.0	75.0116055228276	10.0	18046408.0
SRR8335133_1	50.78644766247212	44.0	75.01180188863903	20.0	22443357.0
SRR8335133_2	51.35040522394191	45.0	74.98923182481124	20.0	22443357.0
SRR8335134_1	50.51064028974301	45.0	75.04687896076359	30.0	17657580.0
SRR8335134_2	51.42222422322734	45.0	75.02472348985535	20.0	17657580.0
SRR8335135_1	52.78747230288093	45.0	74.47582391517929	20.0	18441158.0
SRR8335135_2	53.41301805609173	45.0	74.45358762177516	20.0	18441158.0
SRR8335136_1	50.46068677084287	45.0	75.31022761801498	20.0	18979561.0
SRR8335136_2	52.546433351415665	45.0	75.28460062906619	20.0	18979561.0
SRR8335137_1	50.92801484660161	45.0	74.7906872118175	20.0	18562239.0
SRR8335137_2	52.9211644874903	45.0	74.76914449813948	20.0	18562239.0
SRR8335138_1	49.835447843290304	44.0	74.78526750624457	20.0	18713451.0
SRR8335138_2	50.58314878437354	45.0	74.76780322346744	20.0	18713451.0
SRR8335139_1	51.14335726802074	44.0	75.07727544296492	30.0	18324476.0
SRR8335139_2	50.94456331010437	45.0	75.06384477242351	20.0	18324476.0
SRR8335140_1	51.1883204747166	44.0	74.81242493937603	30.0	19549198.0
SRR8335140_2	50.87503359883565	45.0	74.79717193513514	20.0	19549198.0
SRR8335141_1	51.92103895088024	44.0	74.57955060700968	30.0	22868581.0
SRR8335141_2	53.4847056438849	45.0	74.55346849023995	20.0	22868581.0
SRR8335142_1	50.56902874752515	44.0	74.94874642025236	20.0	18616885.0
SRR8335142_2	53.04087403287597	45.0	74.91671941895757	20.0	18616885.0
SRR8335143_1	53.677737800457244	45.0	74.79738308524789	30.0	26093093.0
SRR8335143_2	55.38090806462266	45.0	74.77776475176783	20.0	26093093.0
SRR8335144_1	55.16962865048837	45.0	74.92647899399516	20.0	22839731.0
SRR8335144_2	57.83653117112688	45.0	74.90174831743859	20.0	22839731.0
SRR8335145_1	56.66831389923575	45.0	74.96294992628883	20.0	28824666.0
SRR8335145_2	58.14238145469316	45.0	74.93912304135631	20.0	28824666.0
SRR8335146_1	49.193888460917165	44.0	75.1193649977028	10.0	17789101.0
SRR8335146_2	52.032683133517594	44.0	75.08493509593318	20.0	17789101.0
SRR8335147_1	51.51355060423333	44.0	74.8375125220146	20.0	24113532.0
SRR8335147_2	53.98652231674008	44.0	74.80760744630857	20.0	24113532.0
